,symbol,metric,value
0,MMM,Previous Close,181.54
1,MMM,Open,181.37
2,MMM,Bid,180.97 x 1100
3,MMM,Ask,181.01 x 800
4,MMM,Day's Range,180.45 - 182.57
5,MMM,52 Week Range,163.38 - 208.95
6,MMM,Volume,"1,104,045"
7,MMM,Avg. Volume,"2,447,110"
8,MMM,Market Cap,104.288B
9,MMM,Beta (5Y Monthly),0.95
10,MMM,PE Ratio (TTM),17.90
11,MMM,EPS (TTM),10.11
12,MMM,Earnings Date,"Jan 24, 2022 - Jan 28, 2022"
13,MMM,Forward Dividend & Yield,5.92 (3.26%)
14,MMM,Ex-Dividend Date,"Aug 20, 2021"
15,MMM,1y Target Est,190.33
16,MMM,Symbol,Last Price
17,MMM,JNJJohnson & Johnson,162.68
18,MMM,PGThe Procter & Gamble Company,145.32
19,MMM,CATCaterpillar Inc.,209.39
20,MMM,"PEPPepsiCo, Inc.",163.54
21,MMM,HONHoneywell International Inc.,228.00
28,ABT,Previous Close,128.45
29,ABT,Open,128.77
30,ABT,Bid,129.29 x 800
31,ABT,Ask,129.31 x 1000
32,ABT,Day's Range,128.28 - 130.20
33,ABT,52 Week Range,105.32 - 130.20
34,ABT,Volume,"3,032,210"
35,ABT,Avg. Volume,"4,941,307"
36,ABT,Market Cap,228.746B
37,ABT,Beta (5Y Monthly),0.67
38,ABT,PE Ratio (TTM),32.10
39,ABT,EPS (TTM),4.03
40,ABT,Earnings Date,"Jan 25, 2022 - Jan 31, 2022"
41,ABT,Forward Dividend & Yield,1.80 (1.40%)
42,ABT,Ex-Dividend Date,"Oct 14, 2021"
43,ABT,1y Target Est,138.61
44,ABT,Symbol,Last Price
45,ABT,ABBVAbbVie Inc.,117.03
46,ABT,LLYEli Lilly and Company,259.03
47,ABT,BMYBristol-Myers Squibb Company,59.69
48,ABT,JNJJohnson & Johnson,163.45
49,ABT,MDTMedtronic plc,118.07
56,ABBV,Previous Close,116.63
57,ABBV,Open,117.40
58,ABBV,Bid,116.81 x 1000
59,ABBV,Ask,117.25 x 1000
60,ABBV,Day's Range,116.43 - 117.40
61,ABBV,52 Week Range,98.33 - 121.53
62,ABBV,Volume,"2,733,644"
63,ABBV,Avg. Volume,"7,266,929"
64,ABBV,Market Cap,206.789B
65,ABBV,Beta (5Y Monthly),0.80
66,ABBV,PE Ratio (TTM),27.88
67,ABBV,EPS (TTM),4.20
68,ABBV,Earnings Date,"Feb 01, 2022 - Feb 07, 2022"
69,ABBV,Forward Dividend & Yield,5.64 (4.82%)
70,ABBV,Ex-Dividend Date,"Jan 13, 2022"
71,ABBV,1y Target Est,127.78
72,ABBV,Symbol,Last Price
73,ABBV,ABTAbbott Laboratories,128.45
74,ABBV,BMYBristol-Myers Squibb Company,59.43
75,ABBV,"GILDGilead Sciences, Inc.",67.48
76,ABBV,JNJJohnson & Johnson,165.01
